,Jeskai Midrange,Jund Pyromancer,WURG Omnath,Rakdos Midrange,Death and Taxes,Boros Death and Taxes,Pattern Rector,Temur Control,WURG Seeker Walk,Naya Pod,Lotusless Breach Storm,Humans and Taxes,Boros Tokens,Dimir High Tide,5C Superfriends,Sultai Midrange,Jeskai Vault,Mono Black Aggro,Blue Moon,Esper Time Vault,Mono Blue Control,Flash Oath,Jund Initiative,DoomsDragon,Eggs,Naya Winota,WUBG Midrange,Abzan Lands,Zombies,Medium Red,Esper Control,Simic Merfolk,Czech Midrange,4C Pod,Azorius Control,Lotus Breach Storm,Grixis Welder,Esper Thoracle,Esper Initiative,Bant Enchantress,4C Welder,Unknown,Jeskai Control,Sultai Doomsday,Naya Initiative,Red Deck Bins,5C Seeker Walk,Bant Midrange,Dead Guy Dragons,Jeskai Welder,Grixis Thoracle,Rakdos Pyromancer,Jund Goblins,Grixis Tinker Reanimator,UBRG Thoracle,Death and Goblins,Red Deck Wins,WBRG Initiative,Black Mold,Temur Midrange,Temur Moon,Dimir Ninjas,Gruul Cradlehoof,Selesnya Legends,Gruul Aggro,Sultai Thoracle,WURG Lands Midrange,Grixis Tempo Doomsday,Esper Doomsday,Aluren,Yawgmoth's Jacuzzi,WURG Initiative,Abzan Midrange,Rakdos Goblins,Jeskai Breach,Paradox Academy,Academy Prison,Jund Aristocrats,Grixis Reanimator,Boros Equipment,Orzhov Tokens,The Rock,4C Winota,4C Initiative,Mardu Dead Guy Ale,4C Artifacts,WURG Tempo,Flash Hulk,WBRG Aristocrats,Atraxa and Taxes,Grixis Midrange,Esper Dreadnaught Prison,Abzan Aristocrats,Orzhov Control,5C Lands Combo,Grixis Tempo,Medium Green,WUBG Seeker Initiative,Azorius Breach,WUBG Oath Control,Gruul Ramp
Esper Thoracle,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,0.00,,,0.00,,,,0.50,,,,,,0.00,,,,,1.00,,1.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,
Esper Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0.00
Bant Enchantress,,,,,,1.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C Welder,,,,,,,,,,,,0.00,,,,1.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Control,0.00,,1.00,,1.00,,,,,,1.00,,,,1.00,,,,,,,,,,,1.00,1.00,,,,,,,,,,1.00,1.00,1.00,,,,,,0.50,,,,,,1.00,,,,,,1.00,,0.00,,,1.00,,0.00,,,,,,,,,1.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,
Sultai Doomsday,0.00,,,,0.00,1.00,,,,,,,,,,,1.00,,,,,,,,,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,0.00,1.00,,,,,,,,,1.00,,,0.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,
Naya Initiative,0.20,0.00,,,,,,,,,1.00,,,,0.25,,,,,,1.00,,,,,0.00,,,,,,,,,,1.00,,,,,,,0.50,,,,,,1.00,,1.00,,,,,,0.00,,,0.00,1.00,,1.00,,,,,,,,,,,,,,1.00,,1.00,1.00,,,,,,,,,,,,,,,,,1.00,,,,
Red Deck Bins,,,,,,,,,,,0.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C Seeker Walk,,,,,,,,,,,,,,,,,,,,,,,1.00,,,1.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bant Midrange,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Guy Dragons,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
