Explanation
Cell: rows winrate vs column
Example: C7: row 7 vs column C
Green: winrate >= .65
Yellow: winrate <= .35
,Academy Combo,WUBR Control,Dimir Tempo,Citadel Storm,5C Cascade,Cephalid Breakfast,Grixis Midrange,Naya Monsters,UW Control,Esper Midrange,Lotus Breach Storm,Unknown,WURG Slushie,Jeskai Tempo,Sans Red Control,Orzhov Death and Taxes,Rakdos Aggro,Bant Nadu,Bant Vault,Abzan Midrange,Esper Reanimator,WUBG Oath Control,Gruul Aggro,Mono-Black Moon,Flash Hulk,Czech Midrange,Golgari Aggro,Death and Taxes,Jund Midrange,Bant Slaw,Azorius Tempo,Jeskai Black Aggro,Jeskai Control,Rakdos Midrange,Naya Midrange,Mardu Tokens,Oath Turns,Golgari Midrange,Jeskai Prison Stompy,Tin Fins,Esper Control,Dimir Midrange,WURG Scapeshift,Boros Death and Taxes,Affinity Pod,Doomsday Breach,WUBG Nadu,Grixis Moon,WURG Midrange,Mardu Prison Stompy,Boros Prison,Selesnya Lands Midrange,Selesnya Aggro,WUBG OmniTell,Mono Blue Tempo,Red Deck Wins,Simic Slaw,Yawgmoth's Will Storm,Abzan Aggro,Sultai Midrange,Izzet Tempo,Grixis Tempo,Jeskai Midrange,Medium Red,Temur Midrange,Esper Tempo,Sultai Lowrange,Mardu Midrange,Jund Aggro,Czech Control,WUBG Nadu Walk,Blue Moon Bots,Boros Aggro,Grixis Thoracle,Temur Scapeshift Turns,Mono Blue Academy,Abzan Lands,Temur OmniTell,Azorius Bots,Blue Moon,Jund Lands,Mardu Aggro,Gruul Monsters,Temur Tempo,Lantern Control,Mono Blue Midrange,Slivers,Jund Artifacts,WUBR Slushie,5C Blink,Bant Seeker Walk,Dark Bant Reanimator,Mono Red Goblins,Dimir High Tide,Boros Tokens,UBRG Soothsayer,5C Superfriends Omnitell,Simic Merfolk,WUBG Nadu Control,WURG Lands Midrange,Izzet High Tide,Temur Slaw,Dredge,4C Time Sieve,Simic Eldrazi,Golgari Lands,5C Legends,Esper Doomsday,Dimir Reanimator,Abzan Control,Jeskai Slushie,Mono Blue Control,Mardu Humans,Boros Midrange,4C Tempo,Pattern Rector,Azorius Time Vault,Mono Green Stompy,Sultai Storm,Eggs,5C Enchantress,Jeskai Polymorph,Temur Monsters,4C Cascade,Mono Black Pox,Channel Storm,Dark Bant Tempo,Sultai Citadel,5C Vault,WUBG Lands Control,Temur Soothsayer,Mono Black Aggro,WUBR Soothsayer,Grixis Reanimator,Bant Midrange,Azorius Death and Taxes,Grixis Scraps
Lotus Breach Storm,0.67,0.00,0.25,0.67,0.50,0.00,0.50,1.00,1.00,,,,1.00,1.00,0.00,,,1.00,0.00,0.00,,,,,1.00,1.00,1.00,,1.00,,,1.00,,0.00,,,,1.00,,,,,1.00,1.00,1.00,,,,,,1.00,,1.00,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,0.33,0.00,,,,0.00,,0.00,0.67,,,,,,,,,,,0.00,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,1.00,,0.00,,,,,,,,0.00,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
WURG Slushie,1.00,,,,,0.44,,0.00,1.00,1.00,0.00,,,1.00,0.00,1.00,,1.00,0.67,,,1.00,1.00,,0.00,0.00,,0.00,,,,0.00,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,0.00,,,,,,,,,,0.50,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,1.00,,,,1.00,1.00,
Jeskai Tempo,0.75,1.00,1.00,,1.00,1.00,,0.00,0.00,,0.00,,0.00,,,0.00,,0.00,0.78,,,1.00,0.00,0.00,,,,,,,1.00,,1.00,,,,,,,,,0.00,,,1.00,,,,,,,,,,1.00,,,,,,,0.00,1.00,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00,,0.00,,0.00,,,,,,,
Sans Red Control,0.67,1.00,0.50,0.00,0.25,,0.50,1.00,,0.00,1.00,,1.00,,,,,,,,,0.00,,,,,,0.33,,0.50,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,1.00,,0.00,1.00,,1.00,,,0.00,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,
Orzhov Death and Taxes,1.00,,1.00,1.00,0.33,,1.00,0.67,0.00,,,,0.00,1.00,,,,,,,0.00,1.00,1.00,,0.00,1.00,,,,0.00,,1.00,,,1.00,,,,,,,,0.00,,,1.00,0.00,1.00,,,,,,,,,,,,,,1.00,,,,0.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,1.00,,,,,,,,,,,1.00,,,,,,,,,
Rakdos Aggro,0.00,,,0.50,,,,0.50,,,,,,,,,,,,,1.00,0.00,,,,0.00,,0.00,0.00,,,,,,,1.00,0.00,,,,,,,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
Bant Nadu,0.67,,0.33,,,0.00,,1.00,0.00,1.00,0.00,,0.00,1.00,,,,,,,,1.00,0.00,,,,,,,0.00,,,,,,,1.00,,,,0.00,,,,,1.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,1.00,,,0.00,,,,,,,,,1.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,,,,
Bant Vault,1.00,,,,1.00,1.00,,1.00,,,1.00,,0.17,0.11,,,,,,,1.00,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,1.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,,,,1.00,1.00,,,
Abzan Midrange,1.00,0.00,0.00,0.00,0.00,1.00,,0.00,,,1.00,1.00,,,,,,,,,,,1.00,0.00,,,1.00,,,,1.00,,0.00,,,1.00,,,,,,,,1.00,,,,0.00,,,,,,,,,,,,,,,,,1.00,,1.00,,,0.00,,,,,,,1.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esper Reanimator,0.00,0.00,0.00,0.00,,,,,1.00,1.00,,,,,,1.00,0.00,,0.00,,,,,,,,1.00,0.00,,,,,,0.00,,0.00,,0.00,1.00,,,,,1.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG Oath Control,,1.00,1.00,,,,,,,,,0.50,0.00,0.00,1.00,0.00,1.00,0.00,,,,,,,,,,1.00,0.00,0.00,,0.00,,,,,,1.00,,0.00,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,0.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruul Aggro,1.00,0.00,1.00,0.00,,,1.00,,1.00,,,,0.00,1.00,,0.00,,1.00,1.00,0.00,,,,,,,,,,1.00,,,,,0.00,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
Mono-Black Moon,,,0.00,1.00,1.00,1.00,,0.00,0.00,0.00,,,,1.00,,,,,,1.00,,,,,,0.00,1.00,,,,0.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,,,,,,,,,,,,,,,,,,,0.00,1.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Hulk,0.50,0.50,,,1.00,,,,0.00,1.00,0.00,,1.00,,,1.00,,,,,,,,,,0.00,,,1.00,,,,,,,,,,,,,,,0.00,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,0.00,,,,,,,,,,
Czech Midrange,1.00,0.00,,0.00,,,1.00,,,,0.00,,1.00,,,0.00,1.00,,,,,,,1.00,1.00,,,,1.00,,,,,,,1.00,,,,,,,,,1.00,,,,,1.00,,,,0.00,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golgari Aggro,0.33,0.00,,0.00,,,0.50,,,1.00,0.00,,,,,,,,,0.00,0.00,,,0.00,,,,0.00,1.00,,,,,,,1.00,,,0.00,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death and Taxes,0.17,,,0.00,,0.00,1.00,0.00,,1.00,,,1.00,,0.33,,1.00,,,,1.00,0.00,,,,,1.00,,,,,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,1.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Jund Midrange,0.67,,0.00,1.00,1.00,,1.00,0.00,,,0.00,,,,,,1.00,,,,,1.00,,,0.00,0.00,0.00,,,1.00,,,,1.00,0.00,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
Bant Slaw,0.00,0.33,,0.00,,,,,0.00,,,,,,0.50,1.00,,1.00,,,,1.00,0.00,,,,,,0.00,,,1.00,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azorius Tempo,0.67,,0.50,,0.00,1.00,,0.00,,,,,,0.00,,,,,,0.00,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Black Aggro,,,0.50,,0.50,,1.00,,0.80,,0.00,,1.00,,,0.00,,,,,,1.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
Jeskai Control,0.00,0.00,1.00,,,,,,0.00,,,,,0.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,1.00,,,,,,,,,,,,,1.00,,,,,,,,,,,,0.00,,,,,,,,,0.00,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
Rakdos Midrange,0.00,,,,,0.00,1.00,0.00,,1.00,1.00,,,,,,,,,,1.00,,,,,,,1.00,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,1.00,0.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naya Midrange,1.00,0.00,1.00,1.00,0.00,,,,,0.50,,,,,,0.00,,,,,,,1.00,,,,,,1.00,,,,,,,,1.00,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardu Tokens,,,,,,,0.00,,0.00,,,,,,,,0.00,,,0.00,1.00,,,0.00,,0.00,0.00,,,,,,,0.00,,,,,,,,,,,,,1.00,,,,,,,,,0.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oath Turns,,0.00,,,,,,,,,,,,,,,1.00,0.00,,,,,1.00,,,,,,,,,,,,0.00,,,,1.00,,,,,,,,1.00,0.00,,0.50,,,,,,,,,,,,,,,,,0.00,,0.33,,,1.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golgari Midrange,1.00,0.00,1.00,,,0.00,,,,,0.00,,,,1.00,,,,,,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Prison Stompy,1.00,0.00,,,,,,0.00,,0.00,,1.00,,,,,,,,,0.00,,,,,,1.00,,,0.00,,,,,,,0.00,,,,1.00,,,,,,,,,1.00,,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tin Fins,1.00,0.00,0.00,,,0.00,1.00,,1.00,,,,,,,,,,,,,1.00,,,,,1.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.50,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esper Control,0.50,0.17,,,,,,1.00,,0.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
Dimir Midrange,0.00,,,,,0.00,1.00,,,0.00,,,,1.00,,,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,
WURG Scapeshift,1.00,,,,0.00,1.00,1.00,,,0.50,0.00,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boros Death and Taxes,,,0.00,,0.00,,,,,0.00,0.00,,,,,,1.00,,,0.00,0.00,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity Pod,,1.00,,,0.33,,1.00,,1.00,,0.00,,,0.00,,,,,,,,,,,,0.00,,1.00,,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomsday Breach,0.00,,0.00,,,0.00,1.00,,,1.00,,1.00,,,,0.00,,0.00,,,,,,,1.00,,,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG Nadu,,0.00,,0.00,0.00,,0.00,,,,,,,,,1.00,,,,,,,,,,,,,1.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grixis Moon,1.00,,,0.00,,,,,,,,,,,,0.00,,,,1.00,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,1.00,,,1.00,,,,,,,,,,,,,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WURG Midrange,,1.00,,,0.00,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardu Prison Stompy,1.00,,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,0.00,,0.00,,0.50,,0.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boros Prison,0.50,,,,0.00,,0.00,,,,0.00,,,,,,0.00,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selesnya Lands Midrange,0.50,,,,,1.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selesnya Aggro,,,1.00,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,0.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG OmniTell,0.67,1.00,1.00,,,0.00,,0.00,,,,1.00,0.00,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono Blue Tempo,,,,,0.00,,0.00,0.00,,,,,,0.00,,,,,,,,,,,1.00,1.00,,,,,,,,1.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,
Red Deck Wins,0.00,,,,,,,,,1.00,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
